Year,Country Name,"Government expenditure on education, total (% of government expenditure)","Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)"
2003,Argentina,14.35472012,3.535049915,10.47639,12.85688,10.37139
2003,Benin,16.68252945,2.283159971,10.00672,20.13692,122.68317
2003,Bulgaria,10.76726723,3.998450041,17.97436,19.76148,26.76978
2003,Chile,17.63722038,3.918689966,14.58796,15.48508,14.56763
2003,Cyprus,14.9054718,6.670229912,21.29908,33.95926,55.75497
2003,Czechia,10.64125443,4.117280006,11.69317,21.30214,30.4928
2003,El Salvador,14.5278883,3.134670019,10.57389,10.10743,12.43409
2003,Estonia,17.9200573,5.273099899,19.05644,26.16631,21.97225
2003,Eswatini,22.06381989,5.816770077,9.00321,38.87277,291.27902
2003,Finland,12.75793839,6.167439938,17.70462,25.99888,35.35128
2003,France,10.82018566,5.762063026,17.74476,29.88208,34.20437
2003,Hungary,13.05132294,5.792300224,21.37108,26.08295,31.07815
2003,Iceland,18.10956955,7.245079994,23.27294,20.97958,29.24665
2003,India,12.41079998,3.613409996,11.35044,20.30911,70.25823
2003,"Iran, Islamic Rep.",22.13546944,4.363220215,10.10739,10.893,29.24287
2003,Ireland,12.57019711,4.204939842,12.83365,18.51165,23.00727
2003,Israel,15.26760292,6.139949799,21.74141,18.324,26.0644
2003,Italy,9.636210442,4.541790009,24.09947,27.12478,22.40146
2003,Jamaica,13.36233997,4.256849766,12.83743,20.59758,33.01935
2003,Latvia,15.74273014,5.057149887,19.25544,22.93571,13.52347
2003,Lithuania,17.1585083,5.114180088,14.06213,19.6426,20.07651
2003,Malaysia,24.54244041,7.502880096,17.75156,25.10558,89.3199
2003,Mauritius,15.88556862,4.415830135,12.88778,17.90235,46.38897
2003,Mexico,22.47187042,5.072579861,13.82544,14.97844,39.40927
2003,Namibia,20.32821083,6.137139797,18.12045,21.71214,95.92954
2003,Norway,12.67901802,7.399330139,20.84973,31.71205,48.46343
2003,Paraguay,32.23929977,3.382760048,9.45778,10.62564,22.7239
2003,Peru,14.65830994,2.937799931,6.88294,10.38448,12.70191
2003,Philippines,14.38022041,2.935179949,11.47354,9.83623,13.7761
2003,Poland,13.36188507,5.32449007,22.79374,19.68689,19.66127
2003,Portugal,14.37635803,5.281529903,21.84028,29.5211,24.84234
2003,Romania,10.62772751,3.543970108,12.27658,13.8321,23.40972
2003,Slovak Republic,10.81871319,4.209569931,12.5474,17.10819,28.17706
2003,Slovenia,13.39265919,5.70333004,28.38557,24.32286,24.99642
2003,Spain,10.59264565,4.173429966,18.16935,23.18286,22.17697
2003,Sweden,12.58406925,6.791429996,21.81375,24.34073,42.7137
2003,Switzerland,15.30901718,5.384009838,22.68793,26.6065,59.04268
2003,Tunisia,27.68428993,6.81675005,18.56868,23.75261,60.77918
2003,United Kingdom,14.4708662,4.800980091,16.29736,25.01142,24.79769
2003,Uruguay,6.836269855,2.068209887,5.84956,6.49528,17.08454
2004,Argentina,15.13930035,3.486520052,10.00318,12.94152,10.90728
2004,Aruba,14.90291023,4.357140064,11.41266,17.7411,28.02521
2004,Belize,16.32427979,4.043340206,12.42717,19.22426,35.59453
2004,Benin,19.2139492,2.566900015,10.54721,22.61676,128.31504
2004,Brazil,10.49139977,3.974479914,12.68983,11.44409,32.36675
2004,Bulgaria,10.4770546,2.319950104,11.19144,10.2099,16.79781
2004,Burundi,9.179080009,3.74496007,13.9698,51.66644,310.89871
2004,Chad,11.03190041,1.592949986,5.554,25.08256,270.52613
2004,Chile,17.0210495,3.543070078,12.19072,13.50403,14.74927
2004,Colombia,15.41742039,4.079349995,15.77199,15.12669,20.53139
2004,Cyprus,14.94831848,6.117720127,19.8443,31.40003,47.03364
2004,Czechia,11.28056908,3.992389917,11.63192,21.12918,27.60946
2004,Denmark,12.5096941,8.207630157,24.20814,34.44315,60.92935
2004,Eritrea,5.741849899,3.148969889,5.26822,9.30658,592.34362
2004,Estonia,18.0984726,4.876749992,18.71725,24.89156,17.71677
2004,Fiji,23.74914932,6.209159851,17.37067,16.11045,62.67258
2004,Finland,12.66499901,6.157579899,17.78093,31.06666,34.62936
2004,France,10.48044205,5.549233913,17.95336,29.29764,34.27348
2004,"Hong Kong SAR, China",19.93516159,4.558959961,14.90731,20.23283,63.03684
2004,Hungary,12.08970928,5.327620029,22.89192,23.05623,23.87014
2004,Iceland,18.60569,7.161180019,23.44304,22.10474,26.34483
2004,"Iran, Islamic Rep.",21.52145004,4.296629906,10.22692,11.12458,23.43159
2004,Ireland,12.50687599,4.482960224,13.58711,20.12035,22.74967
2004,Israel,15.33865643,5.753479958,20.92211,17.86329,22.14951
2004,Italy,9.217766762,4.385200024,23.63853,25.90226,21.60069
2004,Jamaica,11.73301983,3.912549973,10.44276,18.0983,38.18464
2004,Kuwait,14.95361042,5.535069942,14.22543,16.05232,112.89651
2004,Latvia,16.41742134,4.834060192,19.35567,22.5048,11.57517
2004,Lithuania,19.18181992,5.174280167,14.67982,20.67074,19.5678
2004,Malaysia,21.01292038,5.923890114,13.96764,20.26725,68.26787
2004,Malta,13.065382,4.42151022,12.15758,17.24774,25.0676
2004,Mauritius,15.8063879,4.31306982,12.41251,17.18023,41.516
2004,Mexico,22.05382919,4.726709843,13.36951,14.02877,36.99457
2004,Norway,12.44437504,7.277440071,19.58362,29.40803,50.3261
2004,Panama,14.56826973,3.578660011,9.39577,11.95733,25.80472
2004,Paraguay,29.31039047,2.869899988,8.23651,9.31517,17.60532
2004,Peru,15.27385044,2.957870007,7.35782,10.60857,12.66781
2004,Philippines,12.75084972,2.469830036,9.0319,8.84724,12.17696
2004,Poland,13.00038433,5.355579853,22.56997,21.37206,21.2374
